Tecnicos,Complementariedad,Conocimiento Común,Conocimiento Especializado,Compatibilidad Total,Bloque
"['MAD1SOFT02', 'MAD1SOFT09']",1.0,0.5714285714285714,0.7801204819277109,0.837327882960413,1
"['MAD1SOFT01', 'MAD1SOFT06']",0.5,0.15873015873015872,0.48493975903614456,0.4264749474086823,1
"['MAD1SOFT03', 'MAD1SOFT04']",0.5,0.15873015873015872,0.4307228915662651,0.4074990437942245,1
"['MAD1SOFT07', 'MAD1SOFT08']",0.5,0.15873015873015872,0.48493975903614456,0.4264749474086823,1
['MAD1SOFT05'],0.25,0.5873015873015873,0.6204819277108434,0.44712899215911267,1
"['MAD1SOFT04', 'MAD1SOFT09']",1.0,0.5714285714285714,0.6174698795180723,0.7804001721170396,2
"['MAD1SOFT01', 'MAD1SOFT02']",0.5,0.15873015873015872,0.48493975903614456,0.4264749474086823,2
"['MAD1SOFT03', 'MAD1SOFT06']",0.5,0.15873015873015872,0.5391566265060241,0.4454508510231402,2
"['MAD1SOFT05', 'MAD1SOFT08']",0.5,0.15873015873015872,0.4307228915662651,0.4074990437942245,2
['MAD1SOFT07'],0.25,0.5873015873015873,0.7289156626506024,0.4850807993880283,2
